2018-03-19,1721.4054676592139,1487.1162004445785
2018-03-26,1750.0629797883323,1235.4596743714653
2018-04-02,1824.2436691604769,1160.0803301974593
2018-04-09,1968.2327114353661,975.1499436436075
2018-04-16,1966.9372590698597,687.0361625057052
2018-04-23,2147.267503690417,2537.953412652985
2018-04-30,1835.8357988165678,3629.48571924568
2018-05-07,2127.767732470223,2663.0729739571366
2018-05-14,2016.149735116339,829.6882612359497
2018-05-21,1877.7695107482548,778.9346216445067
2018-05-28,1797.3054846938776,704.281698058389
2018-06-04,1925.4550850811236,780.7401243565456
2018-06-11,2140.301759052816,813.6686886297895
2018-06-18,2015.1024232653665,707.8310886385798
2018-06-25,1950.8266051518647,765.1614290664459
2018-07-02,1981.2470866649933,460.08548547736865
2018-07-09,1740.567541715379,442.66825628713156
2018-07-16,1829.6439531364647,686.8688690190854
2018-07-23,1903.6521739130428,645.2994477201858
2018-07-30,2233.855295422403,760.5117366224732
2018-08-06,2048.076761215386,725.0268303438421
2018-08-13,1970.6980752657284,765.224095333014
2018-08-20,1924.890803316275,549.0647239180104
2018-08-27,1967.71071428877,406.44537274954115
